block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,dis,Present,lshift,None,nan,nan,"('3', '1')",1.9,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,1,neut,Absent,lshift,lshift,1,1.2318730112292542,"('1', 'noDis')",2.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,2,neut,Present,rshift,lshift,0,1.431800253369147,"('3', '9')",2.6,"('green_circle', 'pink_diamond', 'green_diamond')",None,
0,3,neut,Absent,rshift,lshift,0,1.0486518462630556,"('9', 'noDis')",1.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,4,neut,Absent,lshift,lshift,1,0.832042266285498,"('3', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,5,neut,Present,lshift,lshift,1,1.9649232048495833,"('3', '9')",1.5,"('green_circle', 'pink_diamond', 'green_diamond')",None,
0,6,neut,Absent,lshift,lshift,1,1.5485246483285664,"('3', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
0,7,neut,Absent,rshift,lshift,0,1.431836503978957,"('7', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,8,dis,Present,lshift,lshift,1,1.6484030965075362,"('9', '5')",2.6,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,9,dis,Present,rshift,lshift,0,1.9155739353627723,"('1', '9')",2.0,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,10,neut,Absent,lshift,lshift,1,1.5652066653647125,"('5', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,11,dis,Present,rshift,None,nan,nan,"('5', '7')",2.0,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,12,neut,Absent,rshift,lshift,0,1.7649994915291245,"('11', 'noDis')",2.2,"('green_circle', 'noDis', 'green_diamond')",None,
0,13,dis,Present,rshift,lshift,0,1.915053915563476,"('3', '11')",1.7,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,14,dis,Present,rshift,None,nan,nan,"('7', '5')",1.8,"('green_circle', 'pink_diamond', 'green_diamond')",None,
0,15,neut,Present,lshift,lshift,1,1.5651441090030858,"('7', '9')",1.7,"('green_diamond', 'pink_circle', 'green_circle')",None,
0,16,neut,Present,lshift,None,nan,nan,"('9', '11')",2.4,"('green_circle', 'pink_diamond', 'green_diamond')",None,
0,17,neut,Absent,rshift,lshift,0,1.7984235155454371,"('11', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,18,neut,Present,rshift,lshift,0,1.715069570693231,"('3', '11')",2.3,"('green_diamond', 'pink_circle', 'green_circle')",None,
