block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,45,neut,Absent,lshift,lshift,1,1.232067096348601,"('7', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,46,neut,Present,lshift,lshift,1,1.2986309139419063,"('9', '1')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,47,neut,Present,rshift,lshift,0,0.8321436396702211,"('9', '11')",2.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,48,dis,Present,lshift,lshift,1,1.1987216687857654,"('1', '11')",1.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,49,dis,Present,lshift,lshift,1,0.8821495905444863,"('7', '11')",2.1,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,50,neut,Absent,lshift,lshift,1,0.8488692857570186,"('5', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,51,neut,Absent,lshift,lshift,1,1.0654567304068223,"('5', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,52,neut,Absent,rshift,lshift,0,0.8655147313813814,"('1', 'noDis')",2.2,"('green_circle', 'noDis', 'green_diamond')",None,
0,53,dis,Present,rshift,lshift,0,1.0154138873197098,"('3', '9')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,54,neut,Present,rshift,lshift,0,1.3152808507923055,"('9', '3')",2.2,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,55,dis,Present,lshift,lshift,1,1.3153087605533074,"('1', '11')",1.9,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,56,neut,Absent,rshift,lshift,0,0.7487290632682289,"('7', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
0,57,neut,Present,lshift,lshift,1,0.848793897322139,"('3', '7')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,58,dis,Present,rshift,lshift,0,0.7488593088196467,"('11', '1')",2.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,59,neut,Absent,rshift,lshift,0,0.9654964777560053,"('3', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,60,neut,Present,lshift,lshift,1,1.4319134964225668,"('7', '5')",1.8,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,61,neut,Present,rshift,lshift,0,1.0653771715478797,"('1', '9')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,62,neut,Absent,rshift,lshift,0,1.0654166301753776,"('5', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,63,neut,Absent,rshift,lshift,0,0.6489770110185873,"('1', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
1,0,neut,Present,lshift,lshift,1,1.5652076277697233,"('1', '11')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,1,neut,Absent,lshift,lshift,1,1.0155611353691256,"('7', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
1,2,dis,Present,lshift,lshift,1,0.9487782101116409,"('11', '7')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,3,neut,Absent,rshift,lshift,0,1.1987268016152939,"('7', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
1,4,neut,Present,lshift,lshift,1,1.1153654783204274,"('11', '9')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,5,dis,Present,lshift,lshift,1,1.5652846202140154,"('11', '5')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,6,dis,Present,rshift,lshift,0,1.3153328206919923,"('1', '9')",2.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,7,dis,Present,lshift,lshift,1,1.3986376828611355,"('5', '11')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,8,dis,Present,lshift,lshift,1,0.9154680707522402,"('5', '1')",1.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,9,neut,Absent,rshift,lshift,0,0.7655442130715073,"('1', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
1,10,dis,Present,rshift,lshift,0,0.7821819594512363,"('1', '5')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,11,neut,Present,lshift,lshift,1,0.7821011173848547,"('11', '5')",2.2,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,12,neut,Present,rshift,lshift,0,1.2319933119231337,"('7', '9')",1.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,13,neut,Absent,lshift,lshift,1,0.8988617629538567,"('11', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
1,14,neut,Absent,lshift,lshift,1,1.3653009169479446,"('9', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
1,15,neut,Present,rshift,lshift,0,0.8321182963240972,"('5', '1')",2.2,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,16,neut,Absent,rshift,lshift,0,0.6488942441412746,"('7', 'noDis')",2.2,"('green_circle', 'noDis', 'green_diamond')",None,
1,17,neut,Absent,lshift,lshift,1,0.9154828276373337,"('3', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
1,18,neut,Present,rshift,lshift,0,1.448495423280292,"('1', '11')",1.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,19,neut,Present,lshift,lshift,1,1.0654054021106276,"('9', '5')",2.1,"('green_diamond', 'blue_circle', 'green_circle')",None,
