block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Present,lshift,lshift,1,1.0820024066554197,"('11', '7')",1.5,"('green_diamond', 'red_circle', 'green_circle')",None,
0,1,neut,Absent,lshift,lshift,1,0.8988255123447288,"('3', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,2,neut,Absent,lshift,lshift,1,0.6988414882769121,"('9', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,3,dis,Present,lshift,lshift,1,0.8654717439333126,"('1', '5')",2.5,"('green_diamond', 'red_circle', 'green_circle')",None,
0,4,neut,Present,rshift,lshift,0,0.9154308577376469,"('7', '1')",1.9,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,5,neut,Absent,lshift,lshift,1,1.0154392306658337,"('5', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
0,6,neut,Present,lshift,lshift,1,1.0154126041122709,"('5', '7')",1.9,"('green_diamond', 'red_circle', 'green_circle')",None,
0,7,dis,Present,rshift,lshift,0,0.832146206085099,"('1', '7')",1.7,"('green_diamond', 'red_circle', 'green_circle')",None,
0,8,dis,Present,lshift,lshift,1,0.9654297509712251,"('9', '3')",2.4,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,9,neut,Absent,lshift,lshift,1,0.6989082150616923,"('7', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
0,10,neut,Absent,lshift,lshift,1,0.7655345890159424,"('1', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,11,dis,Present,lshift,lshift,1,0.8154115775462287,"('3', '1')",1.7,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,12,dis,Present,rshift,lshift,0,0.7488381358973584,"('1', '7')",1.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,13,neut,Absent,lshift,lshift,1,0.6989075734582002,"('7', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,14,neut,Present,rshift,lshift,0,0.6988437338895892,"('1', '5')",2.5,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,15,neut,Absent,lshift,lshift,1,1.0487150442274924,"('5', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,16,neut,Absent,lshift,lshift,1,0.7322292616840969,"('7', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,17,neut,Present,rshift,lshift,0,0.8154346752796755,"('1', '9')",1.9,"('green_diamond', 'red_circle', 'green_circle')",None,
0,18,neut,Present,rshift,lshift,0,1.0154597619844026,"('5', '7')",1.7,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,19,neut,Present,lshift,lshift,1,0.8487894060963299,"('9', '7')",1.7,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,20,neut,Absent,rshift,lshift,0,0.7322321489007209,"('9', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,21,neut,Absent,lshift,lshift,1,1.6152443756218418,"('9', 'noDis')",1.9,"('green_circle', 'noDis', 'green_diamond')",None,
0,22,dis,Present,lshift,lshift,1,1.2652585390235345,"('1', '5')",2.0,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,23,neut,Present,rshift,lshift,0,1.415266125987273,"('1', '3')",2.5,"('green_diamond', 'red_circle', 'green_circle')",None,
0,24,dis,Present,lshift,lshift,1,1.2820002252028644,"('9', '11')",1.7,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,25,neut,Absent,lshift,lshift,1,0.7488830481565856,"('5', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,26,neut,Absent,lshift,lshift,1,0.6989034030341372,"('9', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,27,neut,Present,rshift,lshift,0,0.7161134599152774,"('1', '3')",2.3,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,28,dis,Present,lshift,lshift,1,1.4319956216963874,"('1', '3')",1.4,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,29,neut,Absent,rshift,lshift,0,0.7988158562088756,"('7', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,30,neut,Absent,lshift,lshift,1,0.7654758822773147,"('11', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,31,neut,Absent,lshift,lshift,1,0.6655823564115053,"('1', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,32,neut,Present,lshift,lshift,1,1.0154238321770208,"('7', '11')",2.5,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,33,dis,Present,rshift,lshift,0,0.832164491790536,"('7', '1')",1.7,"('green_diamond', 'red_circle', 'green_circle')",None,
0,34,neut,Absent,rshift,lshift,0,1.0487227434716715,"('9', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
0,35,neut,Absent,rshift,lshift,0,0.9654672847877919,"('5', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,36,neut,Absent,lshift,lshift,1,1.3819749139368014,"('9', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
0,37,neut,Present,rshift,lshift,0,0.8321420356610361,"('9', '7')",1.5,"('green_diamond', 'red_circle', 'green_circle')",None,
0,38,dis,Present,rshift,lshift,0,1.1820544086353948,"('11', '7')",2.5,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,39,neut,Absent,lshift,lshift,1,0.8821531193648298,"('5', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,40,neut,Absent,lshift,lshift,1,1.1487542141333051,"('11', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,41,dis,Present,rshift,lshift,0,0.8488269399128967,"('11', '5')",2.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,42,neut,Present,lshift,lshift,1,1.1159737186292205,"('5', '7')",1.6,"('green_diamond', 'red_circle', 'green_circle')",None,
0,43,neut,Absent,lshift,lshift,1,0.6988860797339385,"('5', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
