block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Absent,lshift,None,nan,nan,"('3', 'noDis')",2.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,1,neut,Absent,lshift,None,nan,nan,"('11', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
0,2,neut,Present,rshift,None,nan,nan,"('1', '5')",2.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,3,neut,Absent,rshift,lshift,0,1.298652570228569,"('11', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,4,neut,Absent,rshift,None,nan,nan,"('1', 'noDis')",2.1,"('green_circle', 'noDis', 'green_diamond')",None,
0,5,neut,Present,rshift,None,nan,nan,"('3', '9')",2.0,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,6,neut,Absent,lshift,None,nan,nan,"('9', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
0,7,neut,Present,lshift,None,nan,nan,"('1', '11')",1.8,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,8,dis,Present,rshift,None,nan,nan,"('9', '1')",2.3,"('green_diamond', 'red_circle', 'green_circle')",None,
0,9,neut,Absent,rshift,lshift,0,0.9320658258679941,"('9', 'noDis')",1.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,10,dis,Present,lshift,lshift,1,1.3318555085120352,"('1', '3')",1.6,"('green_diamond', 'red_circle', 'green_circle')",None,
0,11,neut,Present,lshift,lshift,1,1.0153304542482147,"('7', '1')",2.1,"('green_diamond', 'red_circle', 'green_circle')",None,
0,12,neut,Absent,rshift,lshift,0,0.9987559324190443,"('7', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,13,neut,Absent,rshift,lshift,0,0.9653832902281465,"('9', 'noDis')",2.2,"('green_circle', 'noDis', 'green_diamond')",None,
0,14,neut,Absent,rshift,lshift,0,1.3486215487387199,"('1', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,15,neut,Absent,rshift,lshift,0,1.8483902509756263,"('11', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
0,16,neut,Absent,lshift,lshift,1,1.2152641125317132,"('3', 'noDis')",2.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,17,neut,Absent,rshift,lshift,0,1.5651784906553985,"('7', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,18,dis,Present,rshift,lshift,0,1.6818083827956798,"('11', '7')",2.0,"('green_diamond', 'red_circle', 'green_circle')",None,
0,19,neut,Absent,rshift,lshift,0,1.148603519704011,"('1', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,20,dis,Present,rshift,lshift,0,1.7984094028156505,"('11', '1')",1.9,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,21,neut,Absent,lshift,lshift,1,1.2819359334066576,"('9', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
0,22,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
0,23,neut,Present,rshift,lshift,0,0.4987745388962139,"('5', '9')",1.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,24,neut,Present,lshift,lshift,1,1.8816595951357158,"('9', '11')",1.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
