block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Present,lshift,None,nan,nan,"('7', '9')",2.1,"('green_diamond', 'red_circle', 'green_circle')",None,
0,1,neut,Present,rshift,None,nan,nan,"('11', '9')",1.8,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,2,neut,Absent,lshift,None,nan,nan,"('11', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
0,3,dis,Present,lshift,lshift,1,1.598456817253009,"('7', '3')",2.0,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,4,neut,Absent,rshift,None,nan,nan,"('11', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,5,dis,Present,rshift,lshift,0,1.5985764761513792,"('11', '1')",2.3,"('green_diamond', 'red_circle', 'green_circle')",None,
0,6,neut,Present,lshift,None,nan,nan,"('3', '5')",1.4,"('green_diamond', 'red_circle', 'green_circle')",None,
0,7,neut,Absent,lshift,None,nan,nan,"('5', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,8,neut,Present,lshift,lshift,1,1.481950433627162,"('3', '11')",2.4,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,9,dis,Present,lshift,lshift,1,1.4652902578408202,"('3', '9')",1.6,"('green_diamond', 'red_circle', 'green_circle')",None,
0,10,neut,Absent,lshift,None,nan,nan,"('5', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,11,neut,Absent,lshift,None,nan,nan,"('1', 'noDis')",1.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,12,neut,Present,rshift,None,nan,nan,"('1', '9')",2.5,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,13,neut,Absent,rshift,None,nan,nan,"('11', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,14,dis,Present,lshift,lshift,1,1.3652987269961159,"('3', '7')",1.8,"('green_diamond', 'red_circle', 'green_circle')",None,
0,15,neut,Present,lshift,lshift,1,1.4985942485453734,"('7', '11')",2.0,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,16,neut,Absent,rshift,None,nan,nan,"('5', 'noDis')",1.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,17,neut,Absent,lshift,None,nan,nan,"('7', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,18,neut,Absent,rshift,None,nan,nan,"('1', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
0,19,neut,Present,lshift,lshift,1,1.381867795202993,"('1', '11')",2.6,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,20,dis,Present,lshift,lshift,1,1.1986620017875111,"('5', '7')",1.4,"('green_circle', 'red_diamond', 'green_diamond')",None,
0,21,neut,Absent,lshift,None,nan,nan,"('7', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,22,neut,Absent,rshift,None,nan,nan,"('9', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
0,23,neut,Absent,rshift,None,nan,nan,"('9', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,24,dis,Present,lshift,None,nan,nan,"('1', '7')",1.6,"('green_diamond', 'red_circle', 'green_circle')",None,
