block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Present,rshift,None,nan,nan,"('11', '5')",2.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,1,neut,Present,rshift,None,nan,nan,"('11', '1')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,2,neut,Present,rshift,lshift,0,1.8484551305682544,"('1', '9')",1.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,3,dis,Present,rshift,None,nan,nan,"('1', '3')",2.1,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,4,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,5,neut,Present,rshift,None,nan,nan,"('7', '11')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,6,neut,Present,lshift,lshift,1,1.915132832818017,"('5', '3')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,7,neut,Absent,lshift,lshift,1,1.8318571636173147,"('11', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,8,neut,Present,rshift,lshift,0,1.4152946773519943,"('11', '1')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,9,dis,Present,rshift,None,nan,nan,"('11', '1')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,10,neut,Absent,rshift,lshift,0,1.082078115891818,"('3', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,11,neut,Absent,lshift,lshift,1,1.3153565600287038,"('1', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,12,neut,Present,lshift,lshift,1,1.4985684217408561,"('1', '9')",2.6,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,13,neut,Absent,rshift,None,nan,nan,"('5', 'noDis')",2.1,"('green_circle', 'noDis', 'green_diamond')",None,
0,14,neut,Absent,rshift,lshift,0,1.731899156579857,"('11', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
0,15,neut,Absent,lshift,lshift,1,1.7818630824112915,"('9', 'noDis')",2.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,16,neut,Absent,rshift,lshift,0,1.831841765128047,"('11', 'noDis')",2.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,17,dis,Present,rshift,lshift,0,1.5152574964167798,"('5', '11')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,18,neut,Absent,lshift,lshift,1,1.9484583706671401,"('5', 'noDis')",2.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,19,dis,Present,rshift,lshift,0,1.9484192328409335,"('9', '1')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,20,neut,Absent,rshift,lshift,0,1.1321148637443912,"('1', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,21,neut,Absent,lshift,lshift,1,1.315302023714139,"('5', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,22,dis,Present,lshift,lshift,1,0.9654040868235825,"('3', '9')",2.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,23,dis,Present,lshift,None,nan,nan,"('11', '7')",1.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,24,neut,Absent,lshift,lshift,1,1.0487753549750778,"('11', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,25,neut,Absent,rshift,lshift,0,1.0654503143696274,"('11', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
0,26,neut,Present,lshift,lshift,1,1.6652885019166206,"('9', '3')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,27,neut,Present,rshift,lshift,0,1.4652172197447726,"('3', '11')",1.9,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,28,neut,Absent,rshift,None,nan,nan,"('5', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,29,dis,Present,lshift,lshift,1,1.4491549918857345,"('5', '1')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,30,neut,Absent,lshift,lshift,1,1.215438974024437,"('7', 'noDis')",1.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,31,neut,Absent,rshift,lshift,0,1.615237638783583,"('5', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,32,dis,Present,rshift,lshift,0,1.8984533821976584,"('9', '7')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,33,neut,Absent,lshift,lshift,1,1.4986678703153302,"('5', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
0,34,neut,Absent,lshift,lshift,1,1.3653288267087191,"('7', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,35,neut,Absent,lshift,lshift,1,1.3486134462809787,"('11', 'noDis')",1.5,"('green_circle', 'noDis', 'green_diamond')",None,
0,36,dis,Present,lshift,lshift,1,1.5152337570798409,"('7', '1')",2.3,"('green_circle', 'blue_diamond', 'green_diamond')",None,
