block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
0,0,neut,Absent,rshift,None,nan,nan,"('9', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,1,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",2.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,2,dis,Present,lshift,None,nan,nan,"('11', '9')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,3,neut,Absent,rshift,None,nan,nan,"('1', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
0,4,neut,Absent,rshift,None,nan,nan,"('11', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,5,neut,Present,lshift,None,nan,nan,"('1', '11')",2.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,6,neut,Absent,lshift,None,nan,nan,"('3', 'noDis')",1.9,"('green_circle', 'noDis', 'green_diamond')",None,
0,7,neut,Present,lshift,None,nan,nan,"('11', '7')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,8,dis,Present,rshift,None,nan,nan,"('11', '1')",2.3,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,9,neut,Absent,rshift,None,nan,nan,"('1', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,10,neut,Absent,rshift,lshift,0,1.498644614355726,"('3', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,11,dis,Present,lshift,None,nan,nan,"('3', '1')",2.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,12,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
0,13,dis,Present,lshift,lshift,1,1.6818680518445035,"('9', '11')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,14,neut,Absent,rshift,lshift,0,1.5486177632838007,"('9', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
0,15,neut,Present,rshift,lshift,0,1.1492935633787056,"('5', '11')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,16,neut,Present,lshift,lshift,1,1.182018828472792,"('11', '3')",1.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,17,neut,Absent,rshift,lshift,0,1.5319498882645348,"('9', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,18,neut,Present,rshift,lshift,0,1.898424672958754,"('9', '1')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,19,dis,Present,rshift,lshift,0,1.431951620592372,"('9', '3')",1.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,20,neut,Absent,rshift,None,nan,nan,"('5', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,21,neut,Absent,rshift,lshift,0,1.5151953968861562,"('7', 'noDis')",1.7,"('green_circle', 'noDis', 'green_diamond')",None,
0,22,neut,Absent,lshift,None,nan,nan,"('5', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
0,23,dis,Present,lshift,None,nan,nan,"('7', '11')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,24,neut,Absent,rshift,lshift,0,1.1987316156773886,"('9', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,25,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
0,26,neut,Absent,lshift,lshift,1,1.3986960708889455,"('5', 'noDis')",2.1,"('green_circle', 'noDis', 'green_diamond')",None,
0,27,neut,Present,rshift,None,nan,nan,"('11', '1')",1.7,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,28,neut,Absent,lshift,lshift,1,1.9818099226422419,"('11', 'noDis')",2.1,"('green_circle', 'noDis', 'green_diamond')",None,
0,29,dis,Present,rshift,lshift,0,1.3486693481381735,"('3', '1')",2.0,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,30,neut,Absent,rshift,lshift,0,1.4319772846993146,"('11', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
0,31,dis,Present,lshift,lshift,1,1.615222215877111,"('9', '7')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,32,neut,Absent,rshift,lshift,0,1.4819735313230922,"('1', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
0,33,dis,Present,rshift,lshift,0,1.2486415667426627,"('11', '9')",2.1,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,34,neut,Present,rshift,lshift,0,1.215897374369888,"('9', '5')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,35,neut,Absent,lshift,lshift,1,1.0154664740148291,"('11', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,36,neut,Present,lshift,lshift,1,1.5818925610656152,"('9', '11')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,37,neut,Present,lshift,lshift,1,1.5985392631964714,"('9', '5')",2.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,38,neut,Absent,lshift,None,nan,nan,"('3', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,39,dis,Present,lshift,None,nan,nan,"('7', '11')",1.7,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,40,neut,Absent,lshift,lshift,1,1.815190199904464,"('5', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,41,neut,Present,rshift,lshift,0,1.7485196622346848,"('11', '1')",1.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,42,dis,Present,rshift,lshift,0,1.9317889743151682,"('7', '5')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,43,neut,Absent,lshift,lshift,1,1.3326042588305427,"('7', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,44,neut,Absent,lshift,lshift,1,1.2320615912904032,"('1', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,45,dis,Present,lshift,lshift,1,1.5819214331859257,"('7', '5')",1.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,46,neut,Present,lshift,lshift,1,1.8317900650390584,"('9', '1')",1.8,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,47,neut,Absent,rshift,lshift,0,1.631930191063475,"('3', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
0,48,neut,Present,rshift,lshift,0,1.4152754047390772,"('7', '5')",1.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,49,neut,Present,lshift,lshift,1,1.3652627972460323,"('1', '11')",1.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,50,dis,Present,rshift,lshift,0,1.3986678403716724,"('11', '3')",2.5,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,51,neut,Absent,lshift,None,nan,nan,"('5', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
0,52,neut,Absent,rshift,lshift,0,1.4153299409663305,"('7', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
0,53,dis,Present,rshift,None,nan,nan,"('7', '1')",2.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,54,neut,Absent,lshift,lshift,1,1.2487159926522509,"('7', 'noDis')",2.3,"('green_circle', 'noDis', 'green_diamond')",None,
0,55,neut,Absent,rshift,None,nan,nan,"('9', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
0,56,neut,Absent,lshift,None,nan,nan,"('9', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
0,57,neut,Present,lshift,None,nan,nan,"('3', '7')",2.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,58,neut,Absent,rshift,lshift,0,1.8984881916239829,"('9', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
0,59,neut,Present,lshift,lshift,1,1.8817600059537654,"('9', '3')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
0,60,neut,Absent,rshift,lshift,0,1.498629857494052,"('1', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
0,61,neut,Present,rshift,lshift,0,1.7651811212263055,"('11', '9')",1.8,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,62,dis,Present,lshift,None,nan,nan,"('5', '7')",2.2,"('green_diamond', 'blue_circle', 'green_circle')",None,
0,63,dis,Present,lshift,lshift,1,1.6318955445185566,"('11', '9')",1.9,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,0,neut,Absent,rshift,lshift,0,1.4986388399311181,"('3', 'noDis')",2.5,"('green_diamond', 'noDis', 'green_circle')",None,
1,1,dis,Present,lshift,lshift,1,1.5152537827289052,"('11', '5')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,2,neut,Absent,lshift,lshift,1,0.9321594998582441,"('3', 'noDis')",1.8,"('green_diamond', 'noDis', 'green_circle')",None,
1,3,neut,Absent,rshift,lshift,0,0.7988777727659908,"('3', 'noDis')",1.6,"('green_circle', 'noDis', 'green_diamond')",None,
1,4,neut,Present,lshift,None,nan,nan,"('5', '9')",1.8,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,5,dis,Present,lshift,None,nan,nan,"('7', '5')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,6,neut,Present,lshift,lshift,1,1.7151784585757923,"('3', '5')",1.9,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,7,neut,Absent,rshift,lshift,0,1.58193073642542,"('11', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
1,8,dis,Present,rshift,lshift,0,1.5319579082979544,"('9', '11')",2.0,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,9,dis,Present,lshift,lshift,1,1.8984573946954697,"('5', '1')",1.8,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,10,dis,Present,rshift,lshift,0,1.865680801387498,"('1', '5')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,11,neut,Present,lshift,lshift,1,1.7151229599448925,"('1', '3')",2.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,12,neut,Present,lshift,None,nan,nan,"('1', '9')",2.0,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,13,neut,Present,lshift,lshift,1,1.3986287026091304,"('9', '3')",1.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,14,neut,Present,rshift,lshift,0,1.2153420672566426,"('1', '9')",2.6,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,15,neut,Present,lshift,lshift,1,1.2986429461889202,"('5', '3')",1.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,16,neut,Absent,lshift,lshift,1,0.9154929080450529,"('3', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
1,17,neut,Absent,rshift,lshift,0,1.0321452562784543,"('9', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
1,18,neut,Absent,lshift,lshift,1,1.182073043897617,"('7', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
1,19,neut,Absent,rshift,lshift,0,1.0488548354705927,"('9', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
1,20,neut,Absent,lshift,lshift,1,1.0820452625021062,"('11', 'noDis')",1.5,"('green_circle', 'noDis', 'green_diamond')",None,
1,21,neut,Absent,lshift,lshift,1,1.232096237834412,"('1', 'noDis')",2.3,"('green_diamond', 'noDis', 'green_circle')",None,
1,22,neut,Absent,rshift,lshift,0,0.9988123934535906,"('11', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
1,23,dis,Present,lshift,lshift,1,1.0826445193979453,"('7', '3')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,24,dis,Present,lshift,lshift,1,1.3986283818076117,"('1', '9')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,25,neut,Absent,rshift,lshift,0,0.9654769642183965,"('9', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,26,neut,Absent,lshift,lshift,1,0.9988419071769385,"('1', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,27,dis,Present,rshift,lshift,0,1.082086966675888,"('1', '11')",1.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,28,dis,Present,rshift,lshift,0,1.598548887236575,"('1', '11')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,29,neut,Absent,lshift,lshift,1,1.4319657358510085,"('11', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
